local_segment,local_segment_label,local_segment_start_datetime,local_segment_end_datetime,phone_locations_doryab_radiusgyration,phone_locations_doryab_numberofsignificantplaces,phone_locations_doryab_timeathome,phone_locations_doryab_locationentropy,phone_locations_doryab_totaldistance,phone_locations_doryab_timeattop1location,phone_locations_doryab_maxlengthstayatclusters,phone_locations_doryab_minlengthstayatclusters,phone_locations_doryab_homelabel,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_numberlocationtransitions,phone_locations_doryab_loglocationvariance,phone_locations_doryab_timeattop2location,phone_locations_doryab_varspeed,phone_locations_doryab_normalizedlocationentropy,phone_locations_doryab_stdlengthstayatclusters,phone_locations_doryab_minutesdataused,phone_locations_doryab_avgspeed,phone_locations_doryab_timeattop3location,phone_locations_doryab_avglengthstayatclusters,phone_locations_doryab_outlierstimepercent,phone_locations_doryab_locationvariance
"daily#2023-02-13 00:00:00,2023-02-13 23:59:59",daily,2023-02-13 00:00:00,2023-02-13 23:59:59,1505.725978763359,3.0,226.83316666666667,0.6838757711384199,20231.795132576623,228.8331333333333,373.95014999999984,1.9999666666666667,1.0,0.7948997558038342,2.0,-3.6469728184646457,373.95014999999984,767.6292193506715,0.2279585903794733,187.46518472681868,760.8295833333335,7.779149192576971,0.0,201.5944166666666,0.0,0.00022543803044364156
"daily#2023-02-14 00:00:00,2023-02-14 23:59:59",daily,2023-02-14 00:00:00,2023-02-14 23:59:59,2051.4421146697186,8.0,694.0939833333351,1.024223776153428,45361.98731777987,696.0939500000019,696.0939500000019,1.9999666666666667,1.0,0.7736561206920813,11.0,-3.325418905201045,280.97676666666695,779.3978914485211,0.1280279720191785,244.16174446953428,1439.9696500000043,8.350668229451042,0.0,138.0051875000003,0.008976178023316878,0.00047269509391403055
"daily#2023-02-15 00:00:00,2023-02-15 23:59:59",daily,2023-02-15 00:00:00,2023-02-15 23:59:59,1156.4433950962202,3.0,1034.8851666666685,0.4579417566831321,20757.272325452876,1038.885100000002,1038.885100000002,2.99995,1.0,0.8631317574858216,5.0,-3.6826572073240422,199.9983000000002,439.65380064934243,0.1526472522277107,550.0905163557921,1439.9694166666688,6.319250545056262,0.0,413.96111666666735,0.0008045673367036314,0.00020765519125178262
"daily#2023-02-16 00:00:00,2023-02-16 23:59:59",daily,2023-02-16 00:00:00,2023-02-16 23:59:59,1313.7087105366527,4.0,868.9492833333352,0.5790349756798384,29604.535184572353,872.9492166666686,872.9492166666686,0.9999833333333333,1.0,0.809000712642319,4.0,-3.641824087729041,288.98733333333297,448.21149059353303,0.1447587439199596,410.80804571857016,1439.9696833333362,6.4583920003629025,0.0,291.2341250000004,0.0,0.00022812659184263883
"daily#2023-02-17 00:00:00,2023-02-17 23:59:59",daily,2023-02-17 00:00:00,2023-02-17 23:59:59,615.9755720234426,2.0,1040.2877333333342,0.3257685048900778,30630.295915902276,1040.2877333333342,1040.2877333333342,115.9886833333333,1.0,0.8050699910576824,3.0,-4.19922071051749,0.0,512.1255326683753,0.1628842524450389,653.5781260992844,1439.969666666668,6.547422952219152,115.9886833333333,578.1382083333338,0.0025877781056004123,6.320905383243376e-05
"daily#2023-02-18 00:00:00,2023-02-18 23:59:59",daily,2023-02-18 00:00:00,2023-02-18 23:59:59,798.4834745309114,3.0,660.6449333333362,0.29305214735492485,89155.45734251152,662.644900000003,662.644900000003,14.995216666666666,1.0,0.5053128783644711,8.0,-4.1831262862188625,0.0,761.5587675332615,0.09768404911830829,368.557149065215,1439.9696000000013,7.509573193981837,0.0,237.21322777777877,0.021982856747970507,6.55954496993584e-05
"daily#2023-02-19 00:00:00,2023-02-19 23:59:59",daily,2023-02-19 00:00:00,2023-02-19 23:59:59,0.0,1.0,1436.9692166666687,-0.0,67.26241529765483,1436.9692166666687,1436.9692166666687,1436.9692166666687,1.0,0.99791663367985,0.0,-9.695483447700141,0.0,0.22342472061588883,-0.0,0.0,1439.969200000002,1.3452557795963165,0.0,1436.9692166666687,0.0,2.0161208097715795e-10
"daily#2023-02-20 00:00:00,2023-02-20 23:59:59",daily,2023-02-20 00:00:00,2023-02-20 23:59:59,1278.8689677082066,3.0,877.974383333335,0.5601666714759642,43722.72055372466,878.9743666666684,878.9743666666684,3.9999333333333333,1.0,0.7958085462096225,4.0,-3.7081420774696783,261.96595000000053,605.6568725185572,0.18672222382532142,449.5972477264821,1439.9697500000036,8.922108443274132,0.0,381.64675000000074,0.000872631315530793,0.00019582039511673144
"daily#2023-02-21 00:00:00,2023-02-21 23:59:59",daily,2023-02-21 00:00:00,2023-02-21 23:59:59,1477.0372641989825,5.0,422.98053333333337,0.8934244851442241,71264.08650671672,423.9805166666667,423.9805166666667,1.9999666666666667,1.0,0.622907517703316,6.0,-3.642364252336986,418.9885500000005,831.9911390432534,0.17868489702884482,222.16499402359722,1439.9703666666692,7.874455693354733,0.0,178.9936800000001,0.0022296958744475927,0.0002278430300768662
"daily#2023-02-22 00:00:00,2023-02-22 23:59:59",daily,2023-02-22 00:00:00,2023-02-22 23:59:59,1551.8681410767501,4.0,426.98148333333376,0.7499518370624957,54078.829037986885,426.98148333333376,426.98148333333376,1.9999666666666667,1.0,0.5916256151762789,5.0,-3.6111783931995003,414.9418499999996,364.7189821355471,0.18748795926562392,240.50319349284516,1439.9700500000013,5.517807906550786,0.0,212.73079583333333,0.0011737952111878617,0.00024480574576890064
